timestamp,run_id,video_name,speed_mph,hook_in,boards,release_board,arrows_board,breakpoint_board,entry_board,one_two_pocket_board,entry_to_one_two_delta,pocket_target_label,pocket_quality_label,pins_left,pin_result_label,pinfall_complete,pinfall_note,pinfall_confidence,pinfall_confidence_label,leave_type_label,impact_result_label,speed_distance_ft,metric_model,shot_type,confidence,confidence_label,confidence_notes,start_frame,end_frame,waypoint_count,original_waypoints,analysis_waypoints,release_x,release_y,end_x,end_y,lane_frame,lane_calibration,lane_points,lane_quality,lane_quality_label,lane_quality_notes,quality_score,quality_label,quality_notes,consistency_label,consistency_notes,consistency_baseline_runs,consistency_delta_boards,consistency_delta_hook,consistency_delta_speed,raw_output_video,output_video,output_preview,tracking_mode,output_style
2026-04-20 12:35:42,8052649c57,bowling_working.mp4,15.77,12.06,11.34,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Manual lane calibration was used for this analysis. | The pin-deck line is narrow. This can be correct with strong perspective, but verify the top green boxes sit on the left and right lane edges near the pins. | One lane side is much shorter than the other. Recheck all four green boxes before running analysis.",293,371,4,,,647,389,484,283,293,manual,"[{""x"":482,""y"":431},{""x"":946,""y"":430},{""x"":569,""y"":280},{""x"":454,""y"":279}]",75,Review,"The pin-deck line is narrow. This can be correct with strong perspective, but verify the top green boxes sit on the left and right lane edges near the pins. | One lane side is much shorter than the other. Recheck all four green boxes before running analysis.",,,,,,,,,,runs/8052649c57_tracked.mp4,runs/8052649c57_tracked_browser.mp4,runs/8052649c57_preview.jpg,manual_waypoints,
2026-04-20 14:12:01,f8d471367d,bowling_working.mp4,15.77,6.94,6.52,,,,,,,,,,,,,,,,,,,Hook,100,Good,Waypoints look well spaced for a guided prototype analysis. | Manual lane calibration was used for this analysis. | One lane side is much shorter than the other. Recheck all four green boxes before running analysis.,293,371,4,,,645,389,485,283,293,manual,"[{""x"":450,""y"":435},{""x"":991,""y"":432},{""x"":618,""y"":298},{""x"":440,""y"":296}]",85,Good,One lane side is much shorter than the other. Recheck all four green boxes before running analysis.,,,,,,,,,,runs/f8d471367d_tracked.mp4,runs/f8d471367d_tracked_browser.mp4,runs/f8d471367d_preview.jpg,manual_waypoints,
2026-04-20 15:02:05,966628e733,bowling_working.mp4,15.77,9.1,8.55,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Manual lane calibration was used for this analysis. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,645,389,485,283,293,manual,"[{""x"":450,""y"":435},{""x"":991,""y"":432},{""x"":618,""y"":298},{""x"":440,""y"":296}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",,,,,,,,,,runs/966628e733_tracked.mp4,runs/966628e733_tracked_browser.mp4,runs/966628e733_preview.jpg,manual_waypoints,
2026-04-20 15:08:47,a400e29f27,bowling_working.mp4,15.77,6.72,6.31,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Manual lane calibration was used for this analysis. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,645,393,482,284,293,manual,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",,,,,,,,,,runs/a400e29f27_tracked.mp4,runs/a400e29f27_tracked_browser.mp4,runs/a400e29f27_preview.jpg,manual_waypoints,
2026-04-20 15:28:05,b1a9101aaa,bowling_working.mp4,15.77,9.01,8.47,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Saved camera calibration was used for this analysis. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,645,393,482,284,293,saved,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",,,,,,,,,,runs/b1a9101aaa_tracked.mp4,runs/b1a9101aaa_tracked_browser.mp4,runs/b1a9101aaa_preview.jpg,manual_waypoints,
2026-04-20 15:53:47,6e15cb1ee8,bowling_working.mp4,15.77,6.67,6.26,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Manual lane calibration was used for this analysis. | The side lengths are uneven. Some difference is normal from an angled camera view, but confirm both side lines follow the lane edges.",293,371,4,,,644,394,484,283,293,manual,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":441,""y"":294}]",95,Good,"The side lengths are uneven. Some difference is normal from an angled camera view, but confirm both side lines follow the lane edges.",,,,,,,,,,runs/6e15cb1ee8_tracked.mp4,runs/6e15cb1ee8_tracked_browser.mp4,runs/6e15cb1ee8_preview.jpg,manual_waypoints,
2026-04-20 16:24:30,0f6877d64f,bowling_working.mp4,15.77,9.23,8.68,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Saved camera calibration was used for this analysis. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,645,391,483,284,293,saved,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",,,,,,,,,,runs/0f6877d64f_tracked.mp4,runs/0f6877d64f_tracked_browser.mp4,runs/0f6877d64f_preview.jpg,manual_waypoints,
2026-04-20 16:29:15,1f922d2b53,bowling_working.mp4,15.77,6.79,6.39,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Manual lane calibration was used for this analysis. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,643,392,484,282,293,manual,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":440,""y"":290}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",,,,,,,,,,runs/1f922d2b53_tracked.mp4,runs/1f922d2b53_tracked_browser.mp4,runs/1f922d2b53_preview.jpg,manual_waypoints,
2026-04-20 16:29:44,8c5d71b7d2,bowling_working.mp4,15.77,7.14,6.71,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Saved camera calibration was used for this analysis. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,643,392,484,282,293,saved,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",,,,,,,,,,runs/8c5d71b7d2_tracked.mp4,runs/8c5d71b7d2_tracked_browser.mp4,runs/8c5d71b7d2_preview.jpg,manual_waypoints,
2026-04-20 16:29:47,b7014d6f8f,bowling_working.mp4,15.77,7.14,6.71,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Saved camera calibration was used for this analysis. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,643,392,484,282,293,saved,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",,,,,,,,,,runs/b7014d6f8f_tracked.mp4,runs/b7014d6f8f_tracked_browser.mp4,runs/b7014d6f8f_preview.jpg,manual_waypoints,
